,puma,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,4.327153075154895,3.203729587836225,6.764803787402449
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,#DIV/0!
4,Madison & Cortland Counties PUMA,0.0,0.0,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,13.60759493670886,0.0,38.05309734513274
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,0.0,0.0,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,0.0,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,4.892022917584839,13.909774436090224,0.0
14,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,3.551673944687045,5.178268251273345,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.0,0.0,0.0
18,Tompkins County PUMA,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,0.0,0.0,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,7.42245199409158,3.326713008937438,19.30835734870317
21,Westchester County (Northwest) PUMA,0.0,0.0,0.0
22,Albany County (Outside Albany City) PUMA,0.0,#DIV/0!,0.0
23,Monroe County (South) PUMA,0.0,0.0,0.0
24,Jefferson & Lewis Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,#DIV/0!
26,Erie County (Central) PUMA,0.0,#DIV/0!,0.0
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.0,0.0,0.0
31,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,#DIV/0!
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,0.0,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,#DIV/0!,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",24.204065976217876,55.89016829052259,0.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,0.0,0.0,0.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",#DIV/0!,#DIV/0!,#DIV/0!
41,Suffolk County (Central)--Islip Town (East) PUMA,100.0,100.0,#DIV/0!
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",33.62573099415205,41.54929577464789,28.000000000000004
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2.9267029267029265,0.0,9.903593339176162
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,3.2719836400818,1.6758712626166443,8.526645768025078
45,Saratoga County (Outer) PUMA,100.0,100.0,#DIV/0!
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",7.069408740359898,0.0,16.64145234493192
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",13.180901143241424,0.0,43.45898004434589
48,Wayne & Seneca Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
49,Schenectady County--Schenectady City PUMA,0.0,#DIV/0!,0.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,33.51548269581057,27.340823970037455,35.49939831528279
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,#DIV/0!,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,7.457786116322701,0.0,23.2796486090776
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",47.75086505190311,0.0,100.0
54,Columbia & Greene Counties PUMA,0.0,0.0,0.0
55,Rensselaer County--Troy City PUMA,0.0,0.0,#DIV/0!
56,Erie County (West Central)--Buffalo City (West) PUMA,0.0,0.0,0.0
57,Erie County (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
