,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,0.03192182123780107,0.03788861784398194,0.027531904169116918,0.07185674565722011,0.0800674444039373,0.06141723158931572,0.11757526444263629,0.11402455461072855,0.12384745249123415
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,0.0,0.0,0.04616743980561078,0.007180469123982767,0.07957342083675144,0.0,0.0,0.0
2,Ulster County (East) PUMA,0.11451612903225807,0.0,0.2022792022792023,0.0062447960033305576,0.0,0.0178359096313912,#DIV/0!,#DIV/0!,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,0.0,0.0,0.0,0.3544243577545195,0.0,0.5,0.0,#DIV/0!,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.14553191489361703,0.0,0.21455457967377667,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.030294369819948555,0.0,0.044858231062209056,0.0,0.0,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.11566484517304189,0.0,0.121414913957935,0.14521984671238403,0.1951219512195122,0.0,0.0,#DIV/0!,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.022371967654986523,0.051181102362204724,0.007377049180327869,0.10721164134389044,0.13932638720620305,0.08181643993102126,0.23227873448137765,0.34124293785310733,0.17245657568238212
11,Livingston & Wyoming Counties PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,0.0,0.0,0.03650884198516828,0.0694645441389291,0.0,0.0,0.0,0.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,0.0,0.0,0.10122611919019105,0.0,0.18893028206492815,0.07285714285714286,0.0,0.14127423822714683
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
16,Monroe County (Central)--Rochester City (East) PUMA,0.1396103896103896,0.21393034825870647,0.0,0.08726415094339622,0.14740626605033386,0.04416635995583364,0.1296875,0.16683417085427135,0.0
17,Westchester County (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,0.0,0.12078651685393259,0.2306108442004118,0.02919290211791643,0.1206896551724138,0.22121896162528218,0.0
19,Onondaga County (Central)--Syracuse City PUMA,0.0,0.0,0.0,0.09523809523809523,0.15748031496062992,0.0,#DIV/0!,#DIV/0!,#DIV/0!
20,Westchester County (Northeast) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
21,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,0.16590909090909092,0.0,0.20956937799043063,0.037520391517128875,0.0,0.07495926127104835,0.19328859060402684,0.37305699481865284,0.0
23,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0,0.012869399428026692,0.0,0.021617293835068056,0.0,0.0,0.0
24,Suffolk County (Central)--Islip Town (East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.12078479460453709,0.0,0.1923828125,0.06171648987463838,0.09299655568312284,0.02191380569758948,0.08178694158075601,0.0,0.31398416886543534
27,St. Lawrence County PUMA,0.0,0.0,0.0,0.1289198606271777,0.17452830188679244,0.0,#DIV/0!,#DIV/0!,#DIV/0!
28,Columbia & Greene Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.049352750809061485,0.1017797552836485,0.0,0.06742209631728045,0.0,0.12878787878787878,0.0,0.0,0.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
31,Monroe County (North & West) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,0.0,0.0,0.0,0.0962800875273523,0.2328042328042328,0.0,#DIV/0!,#DIV/0!,#DIV/0!
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
34,Niagara County (North & East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,#DIV/0!
36,Suffolk County (East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
37,Warren & Washington Counties PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.10469798657718121,0.2290748898678414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
