,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_ownership_BABS,Home_ownership_HS
0,Total Geo,1.2976971597407514,0.5793038385009993,0.9716919862620946,0.9874729583264622,1.729544169096639,1.1667898853590528,2.8171877115232227,2.0605611409067044,0.6727652952821028,0.7968902447034037,1.5774112780833847,0.9599052360473894,0.6674515405454229,0.5104368973269987
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,0.0,0.8884202091567461,1.0207645034095516,0.7861095870693128,1.3304419045876437,0.7861095870693128,1.3304419045876437,0.799711412186645,0.6209600936393814,0.551411706620879,0.9706946215965792,0.7644508826385883,0.22108332260302707
2,Ulster County (East) PUMA,6.562302794497178,0.0,1.2137525303643726,1.2605541597367211,3.0364285714285706,1.3059821428571428,3.0364285714285706,1.3059821428571428,0.40673261847218073,0.4461225240955724,4.192090395480226,4.2321982616349425,0.6252364588447062,0.865845347770599
3,Albany County (East Central)--Albany City PUMA,0.0,#DIV/0!,1.1962116066711945,#DIV/0!,0.0,0.0,0.0,0.0,0.5994898400460927,#DIV/0!,#DIV/0!,#DIV/0!,1.7050434454098982,3.6352036357280184
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,37.257941550190594,0.40886995466710363,#DIV/0!,10.93431508914589,0.0,10.93431508914589,0.0,0.5475564778533188,#DIV/0!,0.0,#DIV/0!,0.517502836846718,1.2877871825876661
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,1.1389658996395895,0.38631839582908467,0.0,13.226900194269062,0.0,13.226900194269062,1.0057557504455286,0.1513218286634049,#DIV/0!,1.9011299435028248,1.0843507865696174,0.7204759121649829
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.5792391101837017,0.991703754613557,0.8386200051285054,0.0,2.1753524052978754,0.0,2.1753524052978754,0.8404559752412976,0.8764921720479479,0.0,0.7318700762782827,0.9583419237439261,0.7523825259886742
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,38.79482071713147,1.199529353480307,#DIV/0!,0.0,5.513897531632443,0.0,5.513897531632443,1.254038764496968,#DIV/0!,0.0,#DIV/0!,0.4796650526551289,1.3075649358673356
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,0.0,#DIV/0!,0.970424443393201,0.0,2.8303524992988773,0.0,2.8303524992988773,#DIV/0!,0.7453940546557879,#DIV/0!,0.0,1.284370477568741,0.510106494123446
