,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,161481,103800,57681,51001.19469163555,53954.34845857418,45686.8388204088,44168,24439,19729,81574.27368230393,89284.23789844102,72023.67225911096,82567,52779,29788,41774.2037375707,46468.65041020103,33456.485161810124,34746,26582,8164,34063.797847234215,36335.67752614551,26666.55316021558
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2041,1440,601,111993.33659970603,108120.83333333333,121271.88019966723,1750,1149,601,117147.08571428571,114989.55613577024,121271.88019966723,291,291,0,81000.0,81000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,830,496,334,61187.8313253012,79356.65322580645,34206.5868263473,119,119,0,234201.6806722689,234201.6806722689,0.0,388,54,334,34317.010309278354,35000.0,34206.5868263473,323,323,0,29724.148606811144,29724.148606811144,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,227,175,52,38304.845814977976,42496.0,24200.0,133,133,0,34000.0,34000.0,0.0,94,42,52,44395.744680851065,69400.0,24200.0,0,0,0,#DIV/0!,0.0,0.0
4,Madison & Cortland Counties PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
5,Ontario & Yates Counties PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,493,51,442,44294.117647058825,62000.0,42251.13122171946,295,51,244,48040.67796610169,62000.0,45122.95081967213,198,0,198,38712.121212121216,0.0,38712.121212121216,0,0,0,#DIV/0!,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",199,199,0,27000.0,27000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,199,199,0,27000.0,27000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,722,230,492,118340.72022160665,257173.91304347827,53439.0243902439,722,230,492,118340.72022160665,257173.91304347827,53439.0243902439,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
