,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_ownership_BABS,Home_ownership_HS
0,Total Geo,1.6336294636660535,0.8082008374434673,0.9946687450216597,1.0025172070469397,3.5946693210316236,1.863440630529855,7.380717764636548,3.3266488725594514,0.5031584039119784,0.6869365687201535,1.9842252286708617,1.3863215984406803,0.5744432158239815,0.4523093507421056
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,#DIV/0!,1.2106178898059337,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,0.699840454563157,#DIV/0!,#DIV/0!,#DIV/0!,0.481623935956696,1.3702217299963464
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,4.044523769160519,0.7968647082070873,1.0398880572430544,0.6625000000000001,0.0,0.6625000000000001,0.0,0.5699608739595631,0.9002489981697538,#DIV/0!,0.0,0.9229760447630704,0.8659146762556725
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,1.1086451612903225,1.1477230655312847,0.0,2.170597637519005,0.0,2.170597637519005,0.30630121318190606,0.3623877316119484,0.0,1.0598053930955957,0.0,0.7443061321595412
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,6.110661010124817,1.1837247663184354,1.250092353158478,0.0,0.0,0.0,0.0,0.5954508932771297,0.6998989603148824,#DIV/0!,0.0,1.0418107894896536,0.5533182278709573
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,0.0,#DIV/0!,0.0,0.0,4.404417003087152,0.0,4.404417003087152,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.2323505323505324,1.3891524746541477
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,1.1310415115048411,1.281058495821727,0.0,2.707207004795255,0.0,2.707207004795255,0.6973308413032621,0.7564321938269104,0.0,#DIV/0!,0.20196094082588334,0.8696802518762086
10,Suffolk County (Southwest)--Islip Town (South) PUMA,19.43317443502825,#DIV/0!,1.132016632016632,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,0.8093141372909524,#DIV/0!,#DIV/0!,#DIV/0!,0.09526750530463776,1.1150047938638543
